date,anomaly_category,severity_pct,raw_score,hour,day_of_week,is_weekend,Appliances_Wh,lights_Wh,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,T7_C,T8_C,T9_C,T_out_C,RH_1_pct,RH_2_pct,RH_3_pct,RH_5_pct,RH_out_pct,Windspeed_ms,Press_mmHg,Tdewpoint_C,top1_capteur,top1_label,top1_shap_score,top1_direction,top1_valeur_brute,top1_percentile_ctx,top1_interpretation,top2_capteur,top2_label,top2_shap_score,top2_direction,top2_valeur_brute,top2_percentile_ctx,top2_interpretation,top3_capteur,top3_label,top3_shap_score,top3_direction,top3_valeur_brute,top3_percentile_ctx,top3_interpretation,top4_capteur,top4_label,top4_shap_score,top4_direction,top4_valeur_brute,top4_percentile_ctx,top4_interpretation,top5_capteur,top5_label,top5_shap_score,top5_direction,top5_valeur_brute,top5_percentile_ctx,top5_interpretation
2016-01-12 17:40:00,mid,95.55,0.508345,17,Tuesday,0,370.0,40.0,20.03,18.89,19.89,19.36,17.53,5.93,18.0,18.5,17.1,5.77,43.0,42.6,44.6,50.8,81.7,7.0,744.5,2.83,lights,Eclairage (Wh),0.052652,HAUSSE,40.0,100.0,Eclairage (Wh) = 40.0 -> valeur tres haute (top 10%) pour 17h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.014166,HAUSSE,370.0,96.4,Consommation appareils (Wh) = 370.0 -> valeur tres haute (top 10%) pour 17h (HAUSSE du score anomalie),T4,Temperature bureau (C),0.007688,HAUSSE,19.36,32.1,Temperature bureau (C) = 19.36 -> valeur dans la norme pour 17h (HAUSSE du score anomalie),RH_1,Humidite cuisine (%),0.004448,HAUSSE,42.96,78.7,Humidite cuisine (%) = 42.96 -> valeur haute (top 25%) pour 17h (HAUSSE du score anomalie),,,,,,,
2016-01-12 18:00:00,mid,97.62,0.521159,18,Tuesday,0,80.0,40.0,20.0,18.86,19.79,20.16,17.6,5.26,18.13,18.5,17.0,5.4,43.9,43.4,44.5,50.7,85.0,7.0,744.7,3.1,lights,Eclairage (Wh),0.038025,HAUSSE,40.0,100.0,Eclairage (Wh) = 40.0 -> valeur tres haute (top 10%) pour 18h (HAUSSE du score anomalie),T4,Temperature bureau (C),0.011162,HAUSSE,20.16,54.5,Temperature bureau (C) = 20.16 -> valeur dans la norme pour 18h (HAUSSE du score anomalie),RH_7,Humidite chambre parentale (%),0.009957,HAUSSE,39.33,80.2,Humidite chambre parentale (%) = 39.33 -> valeur haute (top 25%) pour 18h (HAUSSE du score anomalie),T5,Temperature salle de bain (C),0.008961,HAUSSE,17.6,28.7,Temperature salle de bain (C) = 17.6 -> valeur dans la norme pour 18h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.008058,HAUSSE,80.0,21.9,Consommation appareils (Wh) = 80.0 -> valeur basse (bottom 25%) pour 18h (HAUSSE du score anomalie)
2016-01-13 08:30:00,mid,95.95,0.510299,8,Wednesday,0,350.0,30.0,18.79,18.0,19.43,18.23,18.2,5.5,17.76,18.39,17.1,5.0,43.9,43.4,43.8,55.8,89.0,4.5,754.8,3.3,lights,Eclairage (Wh),0.041037,HAUSSE,30.0,100.0,Eclairage (Wh) = 30.0 -> valeur tres haute (top 10%) pour 8h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.0229,HAUSSE,350.0,96.7,Consommation appareils (Wh) = 350.0 -> valeur tres haute (top 10%) pour 8h (HAUSSE du score anomalie),,,,,,,,,,,,,,,,,,,,,
2016-01-13 21:40:00,mid,97.65,0.521527,21,Wednesday,0,330.0,0.0,19.6,19.1,19.6,19.5,19.17,1.23,18.29,19.73,16.65,2.8,41.7,40.8,45.2,91.3,88.3,5.0,756.6,1.07,RH_3,Humidite buanderie (%),0.025425,HAUSSE,45.17,94.4,Humidite buanderie (%) = 45.17 -> valeur tres haute (top 10%) pour 21h (HAUSSE du score anomalie),T3,Temperature buanderie (C),0.015808,HAUSSE,19.6,3.1,Temperature buanderie (C) = 19.6 -> valeur tres basse (bottom 10%) pour 21h (HAUSSE du score anomalie),T_out,Temperature exterieure station meteo (C),0.011673,HAUSSE,2.8,24.0,Temperature exterieure station meteo (C) = 2.8 -> valeur basse (bottom 25%) pour 21h (HAUSSE du score anomalie),RH_1,Humidite cuisine (%),0.011493,HAUSSE,41.69,64.6,Humidite cuisine (%) = 41.69 -> valeur dans la norme pour 21h (HAUSSE du score anomalie),lights,Eclairage (Wh),0.010764,HAUSSE,0.0,54.2,Eclairage (Wh) = 0.0 -> valeur dans la norme pour 21h (HAUSSE du score anomalie)
2016-01-13 21:50:00,mid,97.43,0.519263,21,Wednesday,0,310.0,0.0,19.6,19.1,19.93,19.39,19.17,1.17,18.29,19.73,16.6,2.75,42.0,40.8,46.0,90.8,88.2,5.0,756.5,0.98,T3,Temperature buanderie (C),0.031987,HAUSSE,19.93,8.1,Temperature buanderie (C) = 19.93 -> valeur tres basse (bottom 10%) pour 21h (HAUSSE du score anomalie),lights,Eclairage (Wh),0.013324,HAUSSE,0.0,54.2,Eclairage (Wh) = 0.0 -> valeur dans la norme pour 21h (HAUSSE du score anomalie),RH_1,Humidite cuisine (%),0.013269,HAUSSE,42.0,68.9,Humidite cuisine (%) = 42.0 -> valeur dans la norme pour 21h (HAUSSE du score anomalie),RH_3,Humidite buanderie (%),0.011563,HAUSSE,46.03,98.6,Humidite buanderie (%) = 46.03 -> valeur tres haute (top 10%) pour 21h (HAUSSE du score anomalie),Press_mm_hg,Pression atmospherique (mmHg),0.008688,HAUSSE,756.48,57.3,Pression atmospherique (mmHg) = 756.48 -> valeur dans la norme pour 21h (HAUSSE du score anomalie)
2016-01-13 22:00:00,mid,97.61,0.520978,22,Wednesday,0,270.0,0.0,19.6,19.1,20.35,19.39,19.32,1.1,18.29,19.76,16.6,2.7,42.0,40.7,46.5,87.5,88.0,5.0,756.4,0.9,RH_3,Humidite buanderie (%),0.032914,HAUSSE,46.55,98.9,Humidite buanderie (%) = 46.55 -> valeur tres haute (top 10%) pour 22h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.01312,HAUSSE,270.0,98.5,Consommation appareils (Wh) = 270.0 -> valeur tres haute (top 10%) pour 22h (HAUSSE du score anomalie),lights,Eclairage (Wh),0.011899,HAUSSE,0.0,53.7,Eclairage (Wh) = 0.0 -> valeur dans la norme pour 22h (HAUSSE du score anomalie),RH_5,Humidite salle de bain (%),0.011589,HAUSSE,87.5,96.7,Humidite salle de bain (%) = 87.5 -> valeur tres haute (top 10%) pour 22h (HAUSSE du score anomalie),T9,Temperature chambre (C),0.01069,HAUSSE,16.6,8.3,Temperature chambre (C) = 16.6 -> valeur tres basse (bottom 10%) pour 22h (HAUSSE du score anomalie)
2016-01-13 22:10:00,mid,96.25,0.511919,22,Wednesday,0,230.0,0.0,19.6,19.07,20.63,19.29,19.46,1.13,18.23,19.7,16.6,2.78,42.1,40.6,46.4,84.1,87.7,5.17,756.3,0.92,T3,Temperature buanderie (C),0.04836,HAUSSE,20.63,24.1,Temperature buanderie (C) = 20.63 -> valeur basse (bottom 25%) pour 22h (HAUSSE du score anomalie),RH_3,Humidite buanderie (%),0.015133,HAUSSE,46.36,98.9,Humidite buanderie (%) = 46.36 -> valeur tres haute (top 10%) pour 22h (HAUSSE du score anomalie),T5,Temperature salle de bain (C),0.008564,HAUSSE,19.46,47.5,Temperature salle de bain (C) = 19.46 -> valeur dans la norme pour 22h (HAUSSE du score anomalie),RH_1,Humidite cuisine (%),0.007505,HAUSSE,42.15,72.1,Humidite cuisine (%) = 42.15 -> valeur dans la norme pour 22h (HAUSSE du score anomalie),Windspeed,Vitesse du vent (m/s),0.002966,HAUSSE,5.17,75.1,Vitesse du vent (m/s) = 5.17 -> valeur haute (top 25%) pour 22h (HAUSSE du score anomalie)
2016-01-14 10:40:00,mid,96.4,0.51262,10,Thursday,0,620.0,10.0,18.79,18.57,19.69,18.76,17.26,2.43,17.5,18.2,16.89,2.17,43.7,41.7,44.9,52.4,93.7,4.67,748.8,1.27,RH_3,Humidite buanderie (%),0.037371,HAUSSE,44.86,95.5,Humidite buanderie (%) = 44.86 -> valeur tres haute (top 10%) pour 10h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.025557,HAUSSE,620.0,99.6,Consommation appareils (Wh) = 620.0 -> valeur tres haute (top 10%) pour 10h (HAUSSE du score anomalie),T3,Temperature buanderie (C),0.007469,HAUSSE,19.69,14.0,Temperature buanderie (C) = 19.69 -> valeur basse (bottom 25%) pour 10h (HAUSSE du score anomalie),T1,Temperature cuisine (C),0.006419,HAUSSE,18.79,10.6,Temperature cuisine (C) = 18.79 -> valeur basse (bottom 25%) pour 10h (HAUSSE du score anomalie),RH_2,Humidite salon/salle de vie (%),0.006413,HAUSSE,41.73,55.8,Humidite salon/salle de vie (%) = 41.73 -> valeur dans la norme pour 10h (HAUSSE du score anomalie)
2016-01-14 10:50:00,mid,97.11,0.517061,10,Thursday,0,610.0,10.0,18.82,18.63,20.2,18.79,17.2,2.5,17.43,18.2,16.89,2.23,43.3,41.5,46.4,52.5,93.3,4.33,748.9,1.28,RH_3,Humidite buanderie (%),0.037984,HAUSSE,46.4,100.0,Humidite buanderie (%) = 46.4 -> valeur tres haute (top 10%) pour 10h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.017575,HAUSSE,610.0,99.6,Consommation appareils (Wh) = 610.0 -> valeur tres haute (top 10%) pour 10h (HAUSSE du score anomalie),T1,Temperature cuisine (C),0.01149,HAUSSE,18.82,10.6,Temperature cuisine (C) = 18.82 -> valeur basse (bottom 25%) pour 10h (HAUSSE du score anomalie),T3,Temperature buanderie (C),0.009798,HAUSSE,20.2,30.6,Temperature buanderie (C) = 20.2 -> valeur dans la norme pour 10h (HAUSSE du score anomalie),RH_1,Humidite cuisine (%),0.006291,HAUSSE,43.26,73.5,Humidite cuisine (%) = 43.26 -> valeur dans la norme pour 10h (HAUSSE du score anomalie)
2016-01-14 11:00:00,mid,97.05,0.51644,11,Thursday,0,490.0,10.0,18.92,18.7,20.6,18.79,17.2,2.63,17.46,18.17,16.89,2.3,43.0,41.3,47.2,52.8,93.0,4.0,748.9,1.3,RH_3,Humidite buanderie (%),0.032922,HAUSSE,47.2,100.0,Humidite buanderie (%) = 47.2 -> valeur tres haute (top 10%) pour 11h (HAUSSE du score anomalie),Appliances,Consommation appareils (Wh),0.022579,HAUSSE,490.0,98.8,Consommation appareils (Wh) = 490.0 -> valeur tres haute (top 10%) pour 11h (HAUSSE du score anomalie),T3,Temperature buanderie (C),0.016916,HAUSSE,20.6,41.7,Temperature buanderie (C) = 20.6 -> valeur dans la norme pour 11h (HAUSSE du score anomalie),lights,Eclairage (Wh),0.007634,HAUSSE,10.0,91.9,Eclairage (Wh) = 10.0 -> valeur tres haute (top 10%) pour 11h (HAUSSE du score anomalie),RH_2,Humidite salon/salle de vie (%),0.006997,HAUSSE,41.33,60.6,Humidite salon/salle de vie (%) = 41.33 -> valeur dans la norme pour 11h (HAUSSE du score anomalie)
