date,anomaly_category,severity_pct,heure,creneau,jour,saison,is_weekend,Appliances_Wh,lights_Wh,T1_cuisine_C,T2_salon_C,T3_buanderie_C,T5_sdb_C,T_out_C,RH_3_buanderie_pct,RH_5_sdb_pct,RH_out_pct,Windspeed_ms,q_Appliances,pct_Appliances,q_lights,q_T2_salon,q_T_out,q_RH_5_sdb,nb_regles_activees,severite_max,codes_regles,titres_regles,diagnostic_principal_code,diagnostic_principal_titre,diagnostic_principal_detail,diagnostic_complet
2016-01-12 17:40:00,mid,95.55,17,apres-midi (14h-18h),Tuesday,hiver,0,370.0,40.0,20.03,18.89,19.89,17.53,5.77,44.6,50.8,81.7,7.0,TRES_HAUT,95.4,TRES_HAUT,BAS,NORMAL,HAUT,1,moderee,MULTI_FACTOR_COMBINED,Anomalie multi-facteurs sans pattern dominant,MULTI_FACTOR_COMBINED,Anomalie multi-facteurs sans pattern dominant,"Anomalie MID (severite 95.5%ile) le 12/01/2016 a 17h40. Appareils=370 Wh (extremement eleve (top 5%) pour 17h), Eclairage=40 Wh, T_out=5.8C. Plusieurs signaux atypiques combines — investigation manuelle recommandee.","[MULTI_FACTOR_COMBINED / MODEREE] Anomalie MID (severite 95.5%ile) le 12/01/2016 a 17h40. Appareils=370 Wh (extremement eleve (top 5%) pour 17h), Eclairage=40 Wh, T_out=5.8C. Plusieurs signaux atypiques combines — investigation manuelle recommandee."
2016-01-12 18:00:00,mid,97.62,18,soiree (18h-22h),Tuesday,hiver,0,80.0,40.0,20.0,18.86,19.79,17.6,5.4,44.5,50.7,85.0,7.0,BAS,19.8,TRES_HAUT,BAS,NORMAL,NORMAL,1,moderee,MULTI_FACTOR_COMBINED,Anomalie multi-facteurs sans pattern dominant,MULTI_FACTOR_COMBINED,Anomalie multi-facteurs sans pattern dominant,"Anomalie MID (severite 97.6%ile) le 12/01/2016 a 18h00. Appareils=80 Wh (en dessous de la normale (bottom 25%) pour 18h), Eclairage=40 Wh, T_out=5.4C. Plusieurs signaux atypiques combines — investigation manuelle recommandee.","[MULTI_FACTOR_COMBINED / MODEREE] Anomalie MID (severite 97.6%ile) le 12/01/2016 a 18h00. Appareils=80 Wh (en dessous de la normale (bottom 25%) pour 18h), Eclairage=40 Wh, T_out=5.4C. Plusieurs signaux atypiques combines — investigation manuelle recommandee."
2016-01-13 08:30:00,mid,95.95,8,matin (6h-9h),Wednesday,hiver,0,350.0,30.0,18.79,18.0,19.43,18.2,5.0,43.8,55.8,89.0,4.5,TRES_HAUT,96.9,TRES_HAUT,NORMAL,NORMAL,HAUT,1,moderee,MULTI_FACTOR_COMBINED,Anomalie multi-facteurs sans pattern dominant,MULTI_FACTOR_COMBINED,Anomalie multi-facteurs sans pattern dominant,"Anomalie MID (severite 96.0%ile) le 13/01/2016 a 08h30. Appareils=350 Wh (extremement eleve (top 5%) pour 8h), Eclairage=30 Wh, T_out=5.0C. Plusieurs signaux atypiques combines — investigation manuelle recommandee.","[MULTI_FACTOR_COMBINED / MODEREE] Anomalie MID (severite 96.0%ile) le 13/01/2016 a 08h30. Appareils=350 Wh (extremement eleve (top 5%) pour 8h), Eclairage=30 Wh, T_out=5.0C. Plusieurs signaux atypiques combines — investigation manuelle recommandee."
2016-01-13 21:40:00,mid,97.65,21,soiree (18h-22h),Wednesday,hiver,0,330.0,0.0,19.6,19.1,19.6,19.17,2.8,45.2,91.3,88.3,5.0,TRES_HAUT,98.8,NORMAL,BAS,BAS,TRES_HAUT,3,moderee,ENERGY_PEAK_NO_LIGHT | HYG_BATHROOM_SPIKE | COMBINED_OVERCONSUMPTION_COLD,Surconsommation d'appareils sans eclairage | Humidite elevee en salle de bain | Surconsommation par grand froid — effort de chauffage important,ENERGY_PEAK_NO_LIGHT,Surconsommation d'appareils sans eclairage,"Les appareils consomment 330 Wh (extremement eleve (top 5%) pour 21h), alors que l'eclairage est quasi nul (0 Wh). Probable usage intensif d'appareils electromenagers (cuisine, buanderie) sans presence dans les pieces de vie.","[ENERGY_PEAK_NO_LIGHT / MODEREE] Les appareils consomment 330 Wh (extremement eleve (top 5%) pour 21h), alors que l'eclairage est quasi nul (0 Wh). Probable usage intensif d'appareils electromenagers (cuisine, buanderie) sans presence dans les pieces de vie.
---
[HYG_BATHROOM_SPIKE / BASSE] Humidite salle de bain : 91% (extremement eleve (top 5%) pour 21h), sur creneau habituel. Douche/bain prolonge ou ventilation insuffisante.
---
[COMBINED_OVERCONSUMPTION_COLD / MODEREE] Consommation de 330 Wh (extremement eleve (top 5%) pour 21h) avec T_out=2.8C. Effort de chauffage intense pour maintenir l'interieur a 19.6C."
2016-01-13 21:50:00,mid,97.43,21,soiree (18h-22h),Wednesday,hiver,0,310.0,0.0,19.6,19.1,19.93,19.17,2.75,46.0,90.8,88.2,5.0,TRES_HAUT,98.8,NORMAL,BAS,BAS,TRES_HAUT,3,moderee,ENERGY_PEAK_NO_LIGHT | HYG_BATHROOM_SPIKE | COMBINED_OVERCONSUMPTION_COLD,Surconsommation d'appareils sans eclairage | Humidite elevee en salle de bain | Surconsommation par grand froid — effort de chauffage important,ENERGY_PEAK_NO_LIGHT,Surconsommation d'appareils sans eclairage,"Les appareils consomment 310 Wh (extremement eleve (top 5%) pour 21h), alors que l'eclairage est quasi nul (0 Wh). Probable usage intensif d'appareils electromenagers (cuisine, buanderie) sans presence dans les pieces de vie.","[ENERGY_PEAK_NO_LIGHT / MODEREE] Les appareils consomment 310 Wh (extremement eleve (top 5%) pour 21h), alors que l'eclairage est quasi nul (0 Wh). Probable usage intensif d'appareils electromenagers (cuisine, buanderie) sans presence dans les pieces de vie.
---
[HYG_BATHROOM_SPIKE / BASSE] Humidite salle de bain : 91% (extremement eleve (top 5%) pour 21h), sur creneau habituel. Douche/bain prolonge ou ventilation insuffisante.
---
[COMBINED_OVERCONSUMPTION_COLD / MODEREE] Consommation de 310 Wh (extremement eleve (top 5%) pour 21h) avec T_out=2.8C. Effort de chauffage intense pour maintenir l'interieur a 19.6C."
2016-01-13 22:00:00,mid,97.61,22,nuit tardive (22h-0h),Wednesday,hiver,0,270.0,0.0,19.6,19.1,20.35,19.32,2.7,46.5,87.5,88.0,5.0,TRES_HAUT,99.0,NORMAL,BAS,BAS,TRES_HAUT,3,moderee,ENERGY_PEAK_NO_LIGHT | HYG_BATHROOM_SPIKE | COMBINED_OVERCONSUMPTION_COLD,Surconsommation d'appareils sans eclairage | Humidite elevee en salle de bain | Surconsommation par grand froid — effort de chauffage important,ENERGY_PEAK_NO_LIGHT,Surconsommation d'appareils sans eclairage,"Les appareils consomment 270 Wh (extremement eleve (top 5%) pour 22h), alors que l'eclairage est quasi nul (0 Wh). Probable usage intensif d'appareils electromenagers (cuisine, buanderie) sans presence dans les pieces de vie.","[ENERGY_PEAK_NO_LIGHT / MODEREE] Les appareils consomment 270 Wh (extremement eleve (top 5%) pour 22h), alors que l'eclairage est quasi nul (0 Wh). Probable usage intensif d'appareils electromenagers (cuisine, buanderie) sans presence dans les pieces de vie.
---
[HYG_BATHROOM_SPIKE / BASSE] Humidite salle de bain : 87% (extremement eleve (top 5%) pour 22h), sur creneau habituel. Douche/bain prolonge ou ventilation insuffisante.
---
[COMBINED_OVERCONSUMPTION_COLD / MODEREE] Consommation de 270 Wh (extremement eleve (top 5%) pour 22h) avec T_out=2.7C. Effort de chauffage intense pour maintenir l'interieur a 19.6C."
2016-01-13 22:10:00,mid,96.25,22,nuit tardive (22h-0h),Wednesday,hiver,0,230.0,0.0,19.6,19.07,20.63,19.46,2.78,46.4,84.1,87.7,5.17,TRES_HAUT,99.0,NORMAL,BAS,BAS,TRES_HAUT,4,moderee,ENERGY_PEAK_NO_LIGHT | HYG_BATHROOM_SPIKE | METEO_WIND_COLD | COMBINED_OVERCONSUMPTION_COLD,Surconsommation d'appareils sans eclairage | Humidite elevee en salle de bain | Vent fort par temperatures basses | Surconsommation par grand froid — effort de chauffage important,ENERGY_PEAK_NO_LIGHT,Surconsommation d'appareils sans eclairage,"Les appareils consomment 230 Wh (extremement eleve (top 5%) pour 22h), alors que l'eclairage est quasi nul (0 Wh). Probable usage intensif d'appareils electromenagers (cuisine, buanderie) sans presence dans les pieces de vie.","[ENERGY_PEAK_NO_LIGHT / MODEREE] Les appareils consomment 230 Wh (extremement eleve (top 5%) pour 22h), alors que l'eclairage est quasi nul (0 Wh). Probable usage intensif d'appareils electromenagers (cuisine, buanderie) sans presence dans les pieces de vie.
---
[HYG_BATHROOM_SPIKE / BASSE] Humidite salle de bain : 84% (extremement eleve (top 5%) pour 22h), sur creneau habituel. Douche/bain prolonge ou ventilation insuffisante.
---
[METEO_WIND_COLD / MODEREE] Vent de 5.2 m/s (au-dessus de la normale (top 25%)) avec T_out=2.8C. Infiltrations d'air froid possibles, augmentation de la demande energetique de chauffage.
---
[COMBINED_OVERCONSUMPTION_COLD / MODEREE] Consommation de 230 Wh (extremement eleve (top 5%) pour 22h) avec T_out=2.8C. Effort de chauffage intense pour maintenir l'interieur a 19.6C."
2016-01-14 10:40:00,mid,96.4,10,matinee (9h-12h),Thursday,hiver,0,620.0,10.0,18.79,18.57,19.69,17.26,2.17,44.9,52.4,93.7,4.67,TRES_HAUT,99.5,HAUT,NORMAL,BAS,NORMAL,1,moderee,COMBINED_OVERCONSUMPTION_COLD,Surconsommation par grand froid — effort de chauffage important,COMBINED_OVERCONSUMPTION_COLD,Surconsommation par grand froid — effort de chauffage important,Consommation de 620 Wh (extremement eleve (top 5%) pour 10h) avec T_out=2.2C. Effort de chauffage intense pour maintenir l'interieur a 18.8C.,[COMBINED_OVERCONSUMPTION_COLD / MODEREE] Consommation de 620 Wh (extremement eleve (top 5%) pour 10h) avec T_out=2.2C. Effort de chauffage intense pour maintenir l'interieur a 18.8C.
2016-01-14 10:50:00,mid,97.11,10,matinee (9h-12h),Thursday,hiver,0,610.0,10.0,18.82,18.63,20.2,17.2,2.23,46.4,52.5,93.3,4.33,TRES_HAUT,99.5,HAUT,NORMAL,BAS,NORMAL,1,moderee,COMBINED_OVERCONSUMPTION_COLD,Surconsommation par grand froid — effort de chauffage important,COMBINED_OVERCONSUMPTION_COLD,Surconsommation par grand froid — effort de chauffage important,Consommation de 610 Wh (extremement eleve (top 5%) pour 10h) avec T_out=2.2C. Effort de chauffage intense pour maintenir l'interieur a 18.8C.,[COMBINED_OVERCONSUMPTION_COLD / MODEREE] Consommation de 610 Wh (extremement eleve (top 5%) pour 10h) avec T_out=2.2C. Effort de chauffage intense pour maintenir l'interieur a 18.8C.
2016-01-14 11:00:00,mid,97.05,11,matinee (9h-12h),Thursday,hiver,0,490.0,10.0,18.92,18.7,20.6,17.2,2.3,47.2,52.8,93.0,4.0,TRES_HAUT,99.1,TRES_HAUT,BAS,TRES_BAS,NORMAL,2,elevee,THERM_COLD_INDOOR | COMBINED_OVERCONSUMPTION_COLD,Sous-temperature interieure par temps froid | Surconsommation par grand froid — effort de chauffage important,THERM_COLD_INDOOR,Sous-temperature interieure par temps froid,Temperature interieure minimale a 17.5C (seuil confort=18C) avec T_out=2.3C. Systeme de chauffage insuffisant ou defaillant.,"[THERM_COLD_INDOOR / ELEVEE] Temperature interieure minimale a 17.5C (seuil confort=18C) avec T_out=2.3C. Systeme de chauffage insuffisant ou defaillant.
---
[COMBINED_OVERCONSUMPTION_COLD / MODEREE] Consommation de 490 Wh (extremement eleve (top 5%) pour 11h) avec T_out=2.3C. Effort de chauffage intense pour maintenir l'interieur a 18.9C."
